Id,SalePrice
2658,119688.89403235025
2718,138213.3779914729
2414,189053.11826638022
1989,106846.42613252506
625,183377.96186039085
333,103195.75362375425
1327,114979.10528689294
858,153626.41094000626
95,190732.52015298276
1568,166283.73146685018
2482,162597.86118444064
1364,128497.54305056407
2584,154868.7239818861
818,266611.2367030349
2673,181335.76182128472
2089,128840.54321379392
1297,100108.32723926165
790,114593.47996074735
2616,210357.95350379462
720,218558.1692529248
222,146639.72344922536
557,123552.83824288148
1148,189788.5855776176
2766,175467.32372500788
534,180496.96627761866
1452,117182.3252783377
630,108484.36082163412
2648,132221.09776125988
125,151524.1900190604
1904,72652.1846133626
1670,112382.50948085943
756,97839.95607331334
717,205389.03715074316
1032,167114.28385063942
852,205820.60955367357
1731,167632.3627766938
2639,138791.72808878848
2071,101285.97154011471
1267,103651.6743616313
1851,181133.9798605212
567,144515.84125360925
2439,207094.80829802316
1898,139934.3489371228
647,174516.50639276873
2256,213193.3804611286
979,117055.12926712786
1444,217725.10727247215
2485,116782.3029858607
157,116407.52960869968
88,125174.91662455146
2003,119093.40779755058
186,238488.4691870836
1425,242905.9349333589
2695,124404.9542353366
738,74606.92015266116
395,152093.896816508
1353,168904.25711504533
1878,133371.69296826943
390,161068.13999936235
1456,226488.939812446
1103,287413.7925026656
1387,122376.90572642421
2070,151511.90570400684
1199,174048.350944146
2479,176499.43659268995
501,290694.4086279231
2362,106959.76295398257
1718,190069.39029313048
2188,82994.3912785684
1483,152154.97703685844
2557,85560.82031158364
437,363095.9142646728
2224,216059.41830380383
1628,153061.8437192072
397,129861.7280268886
587,191193.93967349298
2182,568716.3330280904
971,142351.48154373598
2611,144904.0599664323
1887,92040.90285222037
2399,377918.8640091935
2148,199323.08503418186
304,117120.9045839606
1997,123486.43019994802
2817,115828.1490016409
1431,186145.029893253
427,379969.90285268833
263,117530.65682351775
598,172399.70259382142
2895,251562.6331131655
687,151497.84937008534
1822,133279.81806590914
2191,107148.41880560858
179,132108.98683502647
1009,190900.14950232243
2010,123269.06595672923
1991,131600.79629340343
1411,154741.77575793825
1721,224626.3278655253
1144,196881.49067753297
593,217470.45088995062
575,301169.5984604275
1249,158365.24243741244
1604,125237.26017821667
1064,457189.0359578683
1923,176980.64828435305
1988,113980.67577326442
2325,163801.2962982386
114,219160.1720476201
2700,144207.96189592176
217,111048.18275887895
343,192271.4092973976
386,223560.3028701373
2005,136517.8668150881
2908,154811.00889620525
1814,240181.88889504728
2446,577999.5059665168
208,140788.47428182262
1679,112747.61180791508
822,360250.51565458917
6,197127.4461614277
1781,417039.2946742376
2397,311368.3450094693
2340,316542.9669906562
1618,180136.49327414116
2843,110690.56237523558
1061,405631.68646297546
2786,118110.12987256447
1935,138475.24597915425
1341,112753.93252952714
521,254530.02893344528
2136,122192.31657414217
996,187627.20278962684
227,139189.084399988
135,173395.1824533948
1167,163959.48779296418
294,228056.99488343194
1776,196002.89943922847
540,166942.76738860743
1717,187382.13358180752
2303,135149.44059184968
116,183360.1391800994
127,123140.08754444317
1371,133365.34971111527
1014,168411.00151351013
1507,85256.90003002869
702,146084.51688561792
750,157973.45955582426
261,151535.5291672028
1559,77274.73462313061
577,202768.3632314697
2812,207520.14735353258
2080,156055.04490766235
1368,100360.92312153146
2376,124946.86638676064
659,103687.9232257467
1235,132223.96789189236
332,90015.62251924316
1917,140508.66568842344
2094,251915.1849471779
1460,276729.83748753427
1471,212437.7384302466
1509,128970.33770619445
1922,133798.10734932066
433,515248.80530108477
460,271781.89499179396
1116,244440.94407529032
1137,173235.94906859845
53,159930.90167549692
2354,257504.45209678836
1475,196145.9159932221
1761,594145.7474568029
842,141143.81372423278
2739,156532.95810006963
2509,134879.09124487403
1007,205577.16004048724
2610,197807.37880177202
1952,97162.804952998
2719,149655.91163550102
2921,98155.54833794008
1966,133640.09203198418
292,109411.436181086
1204,203166.36635462282
1829,262912.2232003316
2419,178285.93246376552
391,154396.01332760468
798,113093.56953431878
481,186972.45729488877
193,197815.28055485288
555,107768.88665939173
899,81502.95510566117
2357,173158.12091581832
328,137458.7159423178
1356,107307.91321819485
1154,105580.46804971606
1730,170077.9267155822
2249,149568.58807500498
1119,273086.0164148216
2856,126795.82546433792
1394,135951.2422674432
2587,127794.01532706391
61,314195.0568204498
2661,175976.74382871418
2711,130483.75547819535
1147,192272.09657934378
757,114399.3841262698
2623,93738.67970904366
2378,131369.83223696862
1413,144629.82154203096
1722,207726.81766751013
1112,211453.4262119151
1623,199236.1050862553
1201,195486.95375001372
1513,124557.4172916788
957,568396.7285328005
1171,282945.38686324237
1145,198548.88723271046
2726,253628.13430478642
703,158646.95782018447
760,97067.69896748735
1964,133124.7473662633
2512,169146.02684590692
159,125796.12578318044
1281,160226.07568175753
468,181173.4609632234
290,114730.60642744115
665,94585.86021135093
1463,262479.3689195255
1792,219748.2192904324
923,134209.42207312214
500,277201.0727092824
1408,210848.45258681383
331,93023.14176794596
170,92867.51609833639
2192,98879.61860264764
2571,262008.2107371256
2314,169924.94047683966
2647,95320.73447453123
422,501337.2849309015
2457,351054.883591086
1838,205004.8336220277
2805,247874.88020694623
1645,158442.200976444
1711,315221.53245194885
2825,272129.8879571282
322,340812.3390828358
2103,256434.90741898725
342,120640.50883818317
600,128608.18691950936
488,192248.654838354
1725,304335.7983576726
2246,257654.30657005453
2847,176965.40870090044
806,255397.06808637583
530,218183.52859025457
963,183514.8777450596
2678,94024.01757514114
171,94715.82658140302
2401,475436.1582047859
805,226366.63882402919
2259,95578.89979051729
1748,158851.1431786358
1361,136497.16834640407
1677,112663.33584096942
1406,152712.3216008464
